,authors,title,venue,year,type,id,cited by,title_ranking
81,"Abd El Salam Al Hajjar, Anis Ismail, Mohammad Hajjar, Mazen El-Sayed","Performance of the Google Desktop, Arabic Google Desktop and Peer to Peer Application in Arabic Language",CoRR,2012,Informal Publications,performanceofthegoogledesktoparabicgoogledesktopandpeertopeerapplicationinarabiclanguage2012,,Performance Google Desktop Arabic Google Desktop Peer Peer Application Arabic Language
82,"El-Sayed Atlam, Kazuhiro Morita, Masao Fuketa, Jun-ichi Aoe",A new approach for Arabic text classification using Arabic field-association terms.,J. Assoc. Inf. Sci. Technol.,2011,Journal Articles,anewapproachforarabictextclassificationusingarabicfieldassociationterms2011,,approach Arabic text classification Arabic fieldassociation terms
83,"Omar Zaidan, Chris Callison-Burch",The Arabic Online Commentary Dataset - an Annotated Dataset of Informal Arabic with High Dialectal Content.,ACL,2011,Conference and Workshop Papers,thearabiconlinecommentarydatasetanannotateddatasetofinformalarabicwithhighdialectalcontent2011,,Arabic Online Commentary Dataset Annotated Dataset Informal Arabic Dialectal Content
84,"Mohamed Embarki, Slim Ouni, Fathi Salam",Speech Clarity and Coarticulation in Modern Standard Arabic and Dialectal Arabic.,ICPhS,2011,Conference and Workshop Papers,speechclarityandcoarticulationinmodernstandardarabicanddialectalarabic2011,,Speech Clarity Coarticulation Arabic Dialectal Arabic
85,Omar Trigui,How to Extract Arabic Definitions from the Web? Arabic Definition Question Answering System.,NLDB,2011,Conference and Workshop Papers,howtoextractarabicdefinitionsfromthewebarabicdefinitionquestionansweringsystem2011,,Extract Arabic Definitions Web Arabic Definition Question Answering System
86,Jawad Hasan Yasin AlKhateeb,Word based off-line handwritten Arabic classification and recognition - design of automatic recognition system for large vocabulary offline handwritten Arabic words using machine learning approaches.,,2010,Books and Theses,wordbasedofflinehandwrittenarabicclassificationandrecognitiondesignofautomaticrecognitionsystemforlargevocabularyofflinehandwrittenarabicwordsusingmachinelearningapproaches2010,,Word based offline handwritten Arabic classification recognition design automatic recognition system vocabulary offline handwritten Arabic words machine learning approaches
87,Husni A. Al-Muhtaseb,"Arabic text recognition of printed manuscripts - efficient recognition of off-line printed Arabic text using Hidden Markov Models, Bigram Statistical Language Model, and post-processing.",,2010,Books and Theses,arabictextrecognitionofprintedmanuscriptsefficientrecognitionofofflineprintedarabictextusinghiddenmarkovmodelsbigramstatisticallanguagemodelandpostprocessing2010,,Arabic text recognition printed manuscripts efficient recognition offline printed Arabic text Hidden Markov Models Bigram Statistical Language Model postprocessing
88,Nizar Habash,Introduction to Arabic Natural Language Processing,,2010,Books and Theses,introductiontoarabicnaturallanguageprocessing2010,768.0,Introduction Arabic Natural Language Processing
89,"Yousef Ajami Alotaibi, Mansour Al-Ghamdi, Fahad Alotaiby",Speech Recognition System of Arabic Alphabet Based on a Telephony Arabic Corpus.,ICISP,2010,Conference and Workshop Papers,speechrecognitionsystemofarabicalphabetbasedonatelephonyarabiccorpus2010,,Speech Recognition System Arabic Alphabet Based Telephony Arabic Corpus
90,"Hisham A. Kholidy, N. Chatterjee",Towards developing an Arabic word alignment annotation tool with some Arabic alignment guidelines.,ISDA,2010,Conference and Workshop Papers,towardsdevelopinganarabicwordalignmentannotationtoolwithsomearabicalignmentguidelines2010,,Towards developing Arabic word alignment annotation tool Arabic alignment guidelines
91,"Amal Al-Saif, Katja Markert",The Leeds Arabic Discourse Treebank - Annotating Discourse Connectives for Arabic.,LREC,2010,Conference and Workshop Papers,theleedsarabicdiscoursetreebankannotatingdiscourseconnectivesforarabic2010,,Leeds Arabic Discourse Treebank Annotating Discourse Connectives Arabic
92,"Dina Salah, Amir Zeid",The Arabic Tutor - An Intelligent web based Language Tutoring System for Teaching Arabic.,SEDE,2010,Conference and Workshop Papers,thearabictutoranintelligentwebbasedlanguagetutoringsystemforteachingarabic2010,,Arabic Tutor Intelligent web based Language Tutoring System Teaching Arabic
93,"Ahmad T. Al-Taani, Sana A. Wedian, Omar M. Darwish",Arabic Numerals Checker - Checking Agreement between Numerals and Counted Objects in the Arabic Language.,Int. J. Comput. Process. Orient. Lang.,2009,Journal Articles,arabicnumeralscheckercheckingagreementbetweennumeralsandcountedobjectsinthearabiclanguage2009,,Arabic Numerals Checker Checking Agreement Numerals Counted Objects Arabic Language
94,"Yousef Alotaibi, Mansour Al-Ghamdi, Fahad Alotaiby",Speech Recognition System of Arabic Digits based on A Telephony Arabic Corpus.,IPCV,2008,Conference and Workshop Papers,speechrecognitionsystemofarabicdigitsbasedonatelephonyarabiccorpus2008,,Speech Recognition System Arabic Digits based Telephony Arabic Corpus
95,"Bente Maegaard, Mohammed Atiyya, Khalid Choukri, Steven Krauwer, Chafic Mokbel, Mustafa Yaseen",MEDAR - Collaboration between European and Mediterranean Arabic Partners to Support the Development of Language Technology for Arabic.,LREC,2008,Conference and Workshop Papers,medarcollaborationbetweeneuropeanandmediterraneanarabicpartnerstosupportthedevelopmentoflanguagetechnologyforarabic2008,,MEDAR Collaboration European Mediterranean Arabic Partners Support Development Language Technology Arabic
96,Asad Ahmed,Jiha/Tropos-Mādda/Hūlē Distinction in Arabic Logic and its Significance for Avicenna&apos;s Modals.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,jihatroposmāddahūlēdistinctioninarabiclogicanditssignificanceforavicennaapossmodals2008,,JihaTroposMāddaHūlē Distinction Arabic Logic Significance Avicennaaposs Modals
97,Albrecht Heeffer,A Conceptual Analysis of Early Arabic Algebra.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,aconceptualanalysisofearlyarabicalgebra2008,,Conceptual Analysis Arabic Algebra
98,Hassan Tahiri,The Birth of Scientific Controversies The Dynamics of the Arabic Tradition and Its Impact on the Development of Science - Ibn al-Haytham&apos;s Challenge of Ptolemy&apos;s Almagest.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,thebirthofscientificcontroversiesthedynamicsofthearabictraditionanditsimpactonthedevelopmentofscienceibnalhaythamaposschallengeofptolemyapossalmagest2008,,Birth Scientific Controversies Dynamics Arabic Tradition Impact Development Science Ibn alHaythamaposs Challenge Ptolemyaposs Almagest
99,"Shahid Rahman, Tony Street, Hassan Tahiri","The Unity of Science in the Arabic Tradition - Science, Logic, Epistemology and their Interactions",,2008,Editorship,theunityofscienceinthearabictraditionsciencelogicepistemologyandtheirinteractions2008,,Unity Science Arabic Tradition Science Logic Epistemology Interactions
100,Bassam Haddad,Semantic Representation of Arabic - a Logical Approach towards Compositionality and Generalized Arabic Quantifiers.,Int. J. Comput. Process. Orient. Lang.,2007,Journal Articles,semanticrepresentationofarabicalogicalapproachtowardscompositionalityandgeneralizedarabicquantifiers2007,,Semantic Representation Arabic Logical Approach towards Compositionality Generalized Arabic Quantifiers
101,"Hayder K. Al Ameed, Shaikha O. Al Ketbi, Amna A. Al Kaabi, Khadija S. Al Shebli, Naila F. Al Shamsi, Noura H. Al Nuaimi, Shaikha S. Al Muhairi",Arabic Search Engines Improvement - A New Approach using Search Key Expansion Derived from Arabic Synonyms Structure.,AICCSA,2006,Conference and Workshop Papers,arabicsearchenginesimprovementanewapproachusingsearchkeyexpansionderivedfromarabicsynonymsstructure2006,,Arabic Search Engines Improvement Approach Search Key Expansion Derived Arabic Synonyms Structure
102,"Anas El Isbihani, Shahram Khadivi, Oliver Bender, Hermann Ney",Morpho-syntactic Arabic Preprocessing for Arabic to English Statistical Machine Translation.,WMT@HLT-NAACL,2006,Conference and Workshop Papers,morphosyntacticarabicpreprocessingforarabictoenglishstatisticalmachinetranslation2006,,Morphosyntactic Arabic Preprocessing Arabic Statistical Machine Translation
103,Khaled F. Shaalan,Arabic GramCheck - a grammar checker for Arabic.,Softw. Pract. Exp.,2005,Journal Articles,arabicgramcheckagrammarcheckerforarabic2005,74.0,Arabic GramCheck grammar checker Arabic
104,"Saleem Abuleil, Khalid Alsamara",New Technique to Support Arabic Noun Morphology - Arabic Noun Classifier System (ANCS).,Int. J. Comput. Process. Orient. Lang.,2004,Journal Articles,newtechniquetosupportarabicnounmorphologyarabicnounclassifiersystemancs2004,,Technique Support Arabic Noun Morphology Arabic Noun Classifier System ANCS
105,,Arabic Logo - An Integrated Educational System Based on Logo Methodology (in Arabic Language).,Egypt. Comput. Sci. J.,2003,Journal Articles,arabiclogoanintegratededucationalsystembasedonlogomethodologyinarabiclanguage2003,,Arabic Logo Integrated Educational System Based Logo Methodology Arabic Language
106,"Laura Mayfield Tomokiyo, Alan W. Black, Kevin A. Lenzo",Arabic in my hand - small-footprint synthesis of egyptian arabic.,INTERSPEECH,2003,Conference and Workshop Papers,arabicinmyhandsmallfootprintsynthesisofegyptianarabic2003,,Arabic hand smallfootprint synthesis egyptian arabic
107,"Saleem Abuleil, Martha W. Evens",Extracting an Arabic Lexicon from Arabic Newspaper Text.,Comput. Humanit.,2002,Journal Articles,extractinganarabiclexiconfromarabicnewspapertext2002,,Extracting Arabic Lexicon Arabic Newspaper Text
108,"Fredric C. Gey, Douglas W. Oard","The TREC-2001 Cross-Language Information Retrieval Track - Searching Arabic Using English, French or Arabic Queries.",TREC,2001,Conference and Workshop Papers,thetrec2001crosslanguageinformationretrievaltracksearchingarabicusingenglishfrenchorarabicqueries2001,,TREC2001 CrossLanguage Information Retrieval Track Searching Arabic French Arabic Queries
109,Charles Burnett,The translation of arabic works on logic into latin in the middle ages and the renaissance.,"Greek, Indian and Arabic Logic",2001,Reference Works,thetranslationofarabicworksonlogicintolatininthemiddleagesandtherenaissance2001,,translation arabic logic latin middle ages renaissance
110,Tony Street,Arabic logic.,"Greek, Indian and Arabic Logic",2001,Reference Works,arabiclogic2001,,Arabic logic
111,"S. Benaouicha, A. Rajouani, M. Zyoute",Construction of an Arabic speech data base - duration model of Arabic vowels.,EUROSPEECH,1991,Conference and Workshop Papers,constructionofanarabicspeechdatabasedurationmodelofarabicvowels1991,,Construction Arabic speech data base duration model Arabic vowels
112,"Al-Hanouf Al-Aljmi, Nora Al-Twairesh",Building an Arabic Flight Booking Dialogue System Using a Hybrid Rule-Based and Data Driven Approach.,IEEE Access,2021,Journal Articles,buildinganarabicflightbookingdialoguesystemusingahybridrulebasedanddatadrivenapproach2021,,Building Arabic Flight Booking Dialogue System Hybrid RuleBased Data Driven Approach
113,"Jwan K. Alwan, Abir Jaafar Hussain, Dhafar Hamed Abd, Ahmed Tariq Sadiq, Mohammed Khalaf, Panos Liatsis",Political Arabic Articles Orientation Using Rough Set Theory With Sentiment Lexicon.,IEEE Access,2021,Journal Articles,politicalarabicarticlesorientationusingroughsettheorywithsentimentlexicon2021,,Political Arabic Articles Orientation Rough Set Theory Sentiment Lexicon
114,"Mohammed Ahmed El-Affendi, Khawla Alrajhi, Amir Hussain",A Novel Deep Learning-Based Multilevel Parallel Attention Neural (MPAN) Model for Multidomain Arabic Sentiment Analysis.,IEEE Access,2021,Journal Articles,anoveldeeplearningbasedmultilevelparallelattentionneuralmpanmodelformultidomainarabicsentimentanalysis2021,1.0,Novel Deep LearningBased Multilevel Parallel Attention Neural MPAN Model Multidomain Arabic Sentiment Analysis
115,"Ashraf Elnagar, Sane Yagi, Ali Bou Nassif, Ismail Shahin, Said A. Salloum",Systematic Literature Review of Dialectal Arabic - Identification and Detection.,IEEE Access,2021,Journal Articles,systematicliteraturereviewofdialectalarabicidentificationanddetection2021,,Systematic Literature Review Dialectal Arabic Identification Detection
116,"Mokthar Ali Hasan Madhfar, Ali Mustafa Qamar",Effective Deep Learning Models for Automatic Diacritization of Arabic Text.,IEEE Access,2021,Journal Articles,effectivedeeplearningmodelsforautomaticdiacritizationofarabictext2021,,Effective Deep Learning Models Automatic Diacritization Arabic Text
117,"Najoua Rahal, Maroua Tounsi, Amir Hussain, Adel M. Alimi",Deep Sparse Auto-Encoder Features Learning for Arabic Text Recognition.,IEEE Access,2021,Journal Articles,deepsparseautoencoderfeatureslearningforarabictextrecognition2021,,Deep Sparse AutoEncoder Features Learning Arabic Text Recognition
118,"Ali Bou Nassif, Ashraf Elnagar, Ismail Shahin, Safaa Henno",Deep learning for Arabic subjective sentiment analysis - Challenges and research opportunities.,Appl. Soft Comput.,2021,Journal Articles,deeplearningforarabicsubjectivesentimentanalysischallengesandresearchopportunities2021,,Deep learning Arabic subjective sentiment analysis Challenges research opportunities
119,"Radwa M. K. Saeed, Sherine Rady, Tarek F. Gharib",Optimizing Sentiment Classification for Arabic Opinion Texts.,Cogn. Comput.,2021,Journal Articles,optimizingsentimentclassificationforarabicopiniontexts2021,,Optimizing Sentiment Classification Arabic Opinion Texts
120,"Rawan N. Al-Matham, Hend S. Al-Khalifa",SynoExtractor - A Novel Pipeline for Arabic Synonym Extraction Using Word2Vec Word Embeddings.,Complex.,2021,Journal Articles,synoextractoranovelpipelineforarabicsynonymextractionusingword2vecwordembeddings2021,1.0,SynoExtractor Novel Pipeline Arabic Synonym Extraction Word2Vec Word Embeddings
121,"Nada Boudjellal, Huaping Zhang, Asif Khan, Arshad Ahmad 0002, Rashid Naseem, Jianyun Shang, Lin Dai",ABioNER - A BERT-Based Model for Arabic Biomedical Named-Entity Recognition.,Complex.,2021,Journal Articles,abionerabertbasedmodelforarabicbiomedicalnamedentityrecognition2021,2.0,ABioNER BERTBased Model Arabic Biomedical NamedEntity Recognition
122,"Ahlam Fuad, Maha Al-Yahya",Analysis and Classification of Mobile Apps Using Topic Modeling - A Case Study on Google Play Arabic Apps.,Complex.,2021,Journal Articles,analysisandclassificationofmobileappsusingtopicmodelingacasestudyongoogleplayarabicapps2021,,Analysis Classification Mobile Apps Topic Modeling Study Google Play Arabic Apps
123,Ahmed Masrai,Phonological and orthographic vocabulary knowledge and processing speed of L2 written text - the case of native Arabic EFL learners.,Cogn. Process.,2021,Journal Articles,phonologicalandorthographicvocabularyknowledgeandprocessingspeedofl2writtentextthecaseofnativearabicefllearners2021,,Phonological orthographic vocabulary knowledge processing speed L2 written text native Arabic EFL learners
124,"Wasan AlKhwiter, Nora Al-Twairesh",Part-of-speech tagging for Arabic tweets using CRF and Bi-LSTM.,Comput. Speech Lang.,2021,Journal Articles,partofspeechtaggingforarabictweetsusingcrfandbilstm2021,2.0,Partofspeech tagging Arabic tweets CRF BiLSTM
